strategy_id,hour_ct,n_trades,net_pnl,win_rate,gross_win,gross_loss
v3.1-trail,1,13,45.9,0.8461538461538461,52.3,6.4
v3.1-trail,2,15,-12.999999999999996,0.4,23.3,36.3
v3.1-trail,3,21,17.8,0.47619047619047616,55.5,37.7
v3.1-trail,4,12,12.850000000000005,0.5833333333333334,35.1,22.25
v3.1-trail,5,15,-17.999999999999996,0.26666666666666666,19.7,37.7
v3.1-trail,10,3,-2.0999999999999996,0.3333333333333333,8.05,10.15
v3.1-trail,11,1,-0.7,0.0,0.0,0.7
v3.1-trail,13,13,-72.85000000000001,0.15384615384615385,3.6,76.45
v3.1-trail,14,2,3.6,1.0,3.6,0.0
v3.1-trail,15,11,-31.449999999999996,0.36363636363636365,25.950000000000003,57.400000000000006
v3.1-trail,17,1,55.55,1.0,55.55,0.0
v3.1-trail,18,4,-6.55,0.25,1.8,8.35
v3.1-trail,19,10,-23.249999999999993,0.3,22.900000000000002,46.150000000000006
v3.1-trail,20,6,-29.199999999999996,0.16666666666666666,3.05,32.25
v3.1-trail,21,8,1.8999999999999995,0.375,10.4,8.5
v3.1-trail,22,12,22.85000000000001,0.5833333333333334,38.85000000000001,16.0
v3.1-trail,23,19,-25.799999999999994,0.2631578947368421,24.000000000000004,49.800000000000004
v4-loose-shorts,0,13,-14.099999999999998,0.23076923076923078,19.150000000000002,33.25
v4-loose-shorts,1,13,-0.34999999999999787,0.5384615384615384,36.35,36.699999999999996
v4-loose-shorts,2,21,-17.2,0.38095238095238093,29.4,46.60000000000001
v4-loose-shorts,3,21,17.800000000000004,0.42857142857142855,68.7,50.900000000000006
v4-loose-shorts,4,12,55.349999999999994,0.6666666666666666,73.15,17.799999999999997
v4-loose-shorts,5,12,-12.149999999999995,0.25,17.900000000000002,30.049999999999997
v4-loose-shorts,6,9,-11.299999999999995,0.4444444444444444,23.450000000000003,34.75
v4-loose-shorts,7,12,56.59999999999998,0.4166666666666667,125.24999999999999,68.64999999999999
v4-loose-shorts,8,5,35.25,0.2,49.3,14.05
v4-loose-shorts,10,12,51.599999999999994,0.6666666666666666,66.89999999999999,15.3
v4-loose-shorts,11,13,-54.099999999999994,0.23076923076923078,10.4,64.5
v4-loose-shorts,12,14,20.199999999999996,0.5,66.35,46.150000000000006
v4-loose-shorts,13,21,-105.95,0.09523809523809523,33.6,139.55
v4-loose-shorts,14,19,-34.55,0.3157894736842105,45.800000000000004,80.35000000000001
v4-loose-shorts,15,12,-64.65,0.25,20.4,85.05000000000001
v4-loose-shorts,17,1,-3.2,0.0,0.0,3.2
v4-loose-shorts,18,4,-6.55,0.25,1.8,8.35
v4-loose-shorts,19,11,-38.95,0.2727272727272727,14.150000000000002,53.1
v4-loose-shorts,20,10,11.750000000000004,0.4,50.95,39.2
v4-loose-shorts,21,9,-10.049999999999999,0.2222222222222222,8.6,18.65
v4-loose-shorts,22,12,17.850000000000005,0.5833333333333334,33.85,16.0
v4-loose-shorts,23,19,-3.2999999999999963,0.2631578947368421,46.5,49.800000000000004
v4-overnight-bias,0,17,-14.399999999999999,0.29411764705882354,27.75,42.150000000000006
v4-overnight-bias,1,13,12.150000000000002,0.5384615384615384,48.849999999999994,36.699999999999996
v4-overnight-bias,2,21,-17.2,0.38095238095238093,29.4,46.60000000000001
v4-overnight-bias,3,22,15.850000000000005,0.4090909090909091,68.7,52.85000000000001
v4-overnight-bias,4,12,65.35,0.75,78.69999999999999,13.35
v4-overnight-bias,5,13,-7.849999999999997,0.23076923076923078,26.650000000000002,34.5
v4-overnight-bias,6,9,-11.299999999999995,0.4444444444444444,23.450000000000003,34.75
v4-overnight-bias,7,12,121.6,0.5,168.3,46.699999999999996
v4-overnight-bias,8,8,81.89999999999999,0.375,115.39999999999999,33.5
v4-overnight-bias,9,16,63.80000000000001,0.625,134.25,70.45
v4-overnight-bias,10,20,32.25,0.5,98.0,65.75
v4-overnight-bias,11,13,-54.099999999999994,0.23076923076923078,10.4,64.5
v4-overnight-bias,12,14,20.199999999999996,0.5,66.35,46.150000000000006
v4-overnight-bias,13,21,-105.95,0.09523809523809523,33.6,139.55
v4-overnight-bias,14,19,-34.55,0.3157894736842105,45.800000000000004,80.35000000000001
v4-overnight-bias,15,13,-70.35000000000001,0.23076923076923078,20.4,90.75000000000001
v4-overnight-bias,17,1,53.05,1.0,53.05,0.0
v4-overnight-bias,18,4,-6.55,0.25,1.8,8.35
v4-overnight-bias,19,8,-35.599999999999994,0.25,12.350000000000001,47.949999999999996
v4-overnight-bias,20,6,17.050000000000004,0.5,35.4,18.349999999999998
v4-overnight-bias,21,9,-10.049999999999999,0.2222222222222222,8.6,18.65
v4-overnight-bias,22,11,21.050000000000004,0.5454545454545454,37.050000000000004,16.0
v4-overnight-bias,23,19,-3.2999999999999963,0.2631578947368421,46.5,49.800000000000004
v4-trend-flip,0,17,-14.399999999999999,0.29411764705882354,27.75,42.150000000000006
v4-trend-flip,1,13,-29.099999999999994,0.38461538461538464,27.750000000000004,56.849999999999994
v4-trend-flip,2,21,-17.2,0.38095238095238093,29.4,46.60000000000001
v4-trend-flip,3,22,15.850000000000005,0.4090909090909091,68.7,52.85000000000001
v4-trend-flip,4,12,25.350000000000005,0.5833333333333334,67.6,42.25
v4-trend-flip,5,12,-5.899999999999996,0.25,25.400000000000002,31.299999999999997
v4-trend-flip,6,10,-18.249999999999993,0.4,28.450000000000003,46.7
v4-trend-flip,7,11,-83.95000000000003,0.2727272727272727,94.14999999999999,178.1
v4-trend-flip,8,7,81.35,0.42857142857142855,115.39999999999999,34.05
v4-trend-flip,9,18,52.400000000000006,0.5555555555555556,134.25,81.85000000000001
v4-trend-flip,10,18,-103.85,0.2222222222222222,52.2,156.04999999999998
v4-trend-flip,11,13,-36.599999999999994,0.3076923076923077,19.700000000000003,56.3
v4-trend-flip,12,11,-17.7,0.36363636363636365,37.2,54.900000000000006
v4-trend-flip,13,20,-57.75,0.15,37.9,95.65
v4-trend-flip,14,13,-52.849999999999994,0.23076923076923078,14.149999999999999,67.0
v4-trend-flip,15,13,-70.35000000000001,0.23076923076923078,20.4,90.75000000000001
v4-trend-flip,17,1,53.05,1.0,53.05,0.0
v4-trend-flip,18,3,-13.350000000000001,0.0,0.0,13.350000000000001
v4-trend-flip,19,9,16.200000000000006,0.4444444444444444,37.2,20.999999999999996
v4-trend-flip,20,7,17.599999999999994,0.42857142857142855,59.15,41.55
v4-trend-flip,21,9,-10.049999999999999,0.2222222222222222,8.6,18.65
v4-trend-flip,22,12,4.100000000000002,0.5,32.05,27.95
v4-trend-flip,23,17,6.8500000000000005,0.23529411764705882,47.199999999999996,40.35
v4-trend-gate,0,17,-14.399999999999999,0.29411764705882354,27.75,42.150000000000006
v4-trend-gate,1,11,-8.95,0.45454545454545453,27.750000000000004,36.699999999999996
v4-trend-gate,2,21,-17.2,0.38095238095238093,29.4,46.60000000000001
v4-trend-gate,3,22,15.850000000000005,0.4090909090909091,68.7,52.85000000000001
v4-trend-gate,4,10,54.25,0.7,67.60000000000001,13.35
v4-trend-gate,5,8,1.9000000000000021,0.25,26.1,24.2
v4-trend-gate,6,9,-23.799999999999994,0.3333333333333333,22.900000000000002,46.699999999999996
v4-trend-gate,7,7,38.84999999999998,0.42857142857142855,74.14999999999999,35.3
