strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
session,2024-04-05T13:04:00+00:00,2024-04-05T13:42:00+00:00,buy,5209.75,5217.25,36.26,target,38
session,2024-04-05T13:48:00+00:00,2024-04-05T13:54:00+00:00,buy,5221.75,5229.25,36.26,target,6
session,2024-04-05T13:54:00+00:00,2024-04-05T14:00:00+00:00,buy,5228.75,5224.25,-23.74,stop,6
session,2024-04-05T14:00:00+00:00,2024-04-05T14:06:00+00:00,buy,5224.0,5220.0,-21.24,stop,6
session,2024-04-05T14:20:00+00:00,2024-04-05T14:26:00+00:00,buy,5225.0,5220.75,-22.49,stop,6
session,2024-04-05T14:36:00+00:00,2024-04-05T14:48:00+00:00,buy,5227.0,5234.5,36.26,target,12
session,2024-04-05T14:52:00+00:00,2024-04-05T14:58:00+00:00,buy,5240.0,5247.25,35.01,target,6
session,2024-04-05T14:58:00+00:00,2024-04-05T15:00:00+00:00,buy,5248.0,5243.75,-22.49,stop,2
session,2024-04-05T15:00:00+00:00,2024-04-05T15:12:00+00:00,buy,5243.75,5239.0,-24.99,stop,12
session,2024-04-05T15:12:00+00:00,2024-04-05T15:16:00+00:00,buy,5238.25,5234.5,-19.99,stop,4
session,2024-04-05T15:16:00+00:00,2024-04-05T15:28:00+00:00,buy,5234.5,5241.75,35.01,target,12
session,2024-04-05T15:30:00+00:00,2024-04-05T15:40:00+00:00,buy,5244.5,5251.25,32.51,target,10
session,2024-04-05T15:40:00+00:00,2024-04-05T15:54:00+00:00,buy,5252.75,5259.25,31.26,target,14
session,2024-04-05T15:54:00+00:00,2024-04-05T16:58:00+00:00,buy,5262.0,5268.0,28.76,target,64
session,2024-04-05T16:58:00+00:00,2024-04-05T17:00:00+00:00,buy,5271.25,5268.0,-17.49,stop,2
session,2024-04-05T17:00:00+00:00,2024-04-05T17:06:00+00:00,buy,5267.25,5263.25,-21.24,stop,6
session,2024-04-05T17:36:00+00:00,2024-04-05T17:38:00+00:00,buy,5261.75,5260.0,-19.98,stop,2
session,2024-04-05T18:12:00+00:00,2024-04-05T18:28:00+00:00,buy,5255.0,5250.5,-23.74,stop,16
session,2024-04-05T18:34:00+00:00,2024-04-05T18:46:00+00:00,buy,5250.5,5246.5,-21.24,stop,12
session,2024-04-05T18:58:00+00:00,2024-04-05T19:32:00+00:00,buy,5246.5,5252.0,26.26,target,34
session,2024-04-05T19:32:00+00:00,2024-04-05T19:36:00+00:00,buy,5256.0,5251.75,-22.49,stop,4
session,2024-04-05T19:36:00+00:00,2024-04-05T19:54:00+00:00,buy,5251.5,5258.75,35.01,target,18
session,2024-04-05T19:54:00+00:00,2024-04-05T19:58:00+00:00,buy,5258.5,5255.0,-18.74,stop,4
session,2024-04-05T19:58:00+00:00,2024-04-07T22:00:00+00:00,buy,5251.25,5259.0,37.51,target,3002
session,2024-04-07T22:00:00+00:00,2024-04-07T22:34:00+00:00,buy,5261.5,5256.75,-24.99,stop,34
session,2024-04-07T23:02:00+00:00,2024-04-07T23:08:00+00:00,buy,5257.75,5259.0,20.04,target,6
session,2024-04-07T23:08:00+00:00,2024-04-07T23:14:00+00:00,buy,5258.75,5258.0,-24.95,stop,6
session,2024-04-07T23:14:00+00:00,2024-04-07T23:16:00+00:00,buy,5258.0,5258.75,15.06,target,2
session,2024-04-07T23:16:00+00:00,2024-04-07T23:24:00+00:00,buy,5259.25,5258.5,-19.96,stop,8
session,2024-04-07T23:24:00+00:00,2024-04-07T23:32:00+00:00,buy,5258.5,5260.0,25.04,target,8
session,2024-04-07T23:32:00+00:00,2024-04-07T23:36:00+00:00,buy,5259.5,5258.5,-24.96,stop,4
session,2024-04-07T23:38:00+00:00,2024-04-07T23:50:00+00:00,buy,5259.25,5257.75,-17.48,stop,12
session,2024-04-07T23:52:00+00:00,2024-04-08T00:00:00+00:00,buy,5259.0,5258.0,-18.72,stop,8
session,2024-04-08T00:56:00+00:00,2024-04-08T01:22:00+00:00,buy,5253.5,5255.75,30.03,target,26
session,2024-04-08T01:22:00+00:00,2024-04-08T01:52:00+00:00,buy,5256.0,5254.25,-19.98,stop,30
session,2024-04-08T01:58:00+00:00,2024-04-08T02:00:00+00:00,buy,5255.25,5254.25,-24.96,stop,2
session,2024-04-08T02:18:00+00:00,2024-04-08T02:22:00+00:00,buy,5255.0,5254.25,-19.96,stop,4
session,2024-04-08T02:22:00+00:00,2024-04-08T02:58:00+00:00,buy,5253.75,5255.25,25.04,target,36
session,2024-04-08T02:58:00+00:00,2024-04-08T03:02:00+00:00,buy,5255.0,5254.5,-22.439999999999998,stop,4
session,2024-04-08T03:06:00+00:00,2024-04-08T03:10:00+00:00,buy,5254.25,5253.75,-22.439999999999998,stop,4
session,2024-04-08T04:02:00+00:00,2024-04-08T04:06:00+00:00,buy,5246.75,5248.0,25.05,target,4
session,2024-04-08T04:06:00+00:00,2024-04-08T04:36:00+00:00,buy,5248.0,5247.0,-24.96,stop,30
session,2024-04-08T07:26:00+00:00,2024-04-08T07:42:00+00:00,buy,5249.5,5253.25,17.51,target,16
session,2024-04-08T07:42:00+00:00,2024-04-08T07:52:00+00:00,buy,5254.75,5258.0,30.02,target,10
session,2024-04-08T07:52:00+00:00,2024-04-08T07:58:00+00:00,buy,5258.25,5256.5,-19.98,stop,6
session,2024-04-08T07:58:00+00:00,2024-04-08T08:16:00+00:00,buy,5255.75,5254.25,-17.48,stop,18
session,2024-04-08T12:16:00+00:00,2024-04-08T12:46:00+00:00,buy,5258.0,5261.75,35.02,target,30
session,2024-04-08T12:46:00+00:00,2024-04-08T12:50:00+00:00,buy,5262.25,5265.0,25.02,target,4
session,2024-04-08T12:50:00+00:00,2024-04-08T13:18:00+00:00,buy,5265.25,5263.0,-12.49,stop,28
session,2024-04-08T13:18:00+00:00,2024-04-08T13:28:00+00:00,buy,5263.5,5262.0,-26.22,stop,10
session,2024-04-08T14:22:00+00:00,2024-04-08T14:28:00+00:00,buy,5256.25,5261.75,26.26,target,6
session,2024-04-08T14:28:00+00:00,2024-04-08T14:50:00+00:00,buy,5262.25,5267.25,23.76,target,22
session,2024-04-08T14:50:00+00:00,2024-04-08T14:56:00+00:00,buy,5267.5,5265.75,-19.98,stop,6
session,2024-04-08T14:56:00+00:00,2024-04-08T15:02:00+00:00,buy,5265.25,5263.25,-22.48,stop,6
session,2024-04-08T15:04:00+00:00,2024-04-08T15:26:00+00:00,buy,5264.5,5261.75,-14.99,stop,22
session,2024-04-08T16:16:00+00:00,2024-04-08T16:22:00+00:00,buy,5251.75,5248.25,-18.74,stop,6
session,2024-04-08T16:24:00+00:00,2024-04-08T16:42:00+00:00,buy,5250.5,5257.5,33.76,target,18
session,2024-04-08T16:42:00+00:00,2024-04-08T17:16:00+00:00,buy,5258.5,5255.5,-16.24,stop,34
session,2024-04-08T17:18:00+00:00,2024-04-08T17:42:00+00:00,buy,5256.75,5254.75,-22.48,stop,24
session,2024-04-08T17:50:00+00:00,2024-04-08T17:56:00+00:00,buy,5255.75,5258.75,27.52,target,6
session,2024-04-08T17:56:00+00:00,2024-04-08T18:24:00+00:00,buy,5259.25,5257.25,-22.48,stop,28
session,2024-04-08T18:24:00+00:00,2024-04-08T18:38:00+00:00,buy,5258.75,5256.0,-14.99,stop,14
session,2024-04-08T18:58:00+00:00,2024-04-08T19:04:00+00:00,buy,5259.75,5257.75,-22.48,stop,6
session,2024-04-08T19:04:00+00:00,2024-04-08T19:06:00+00:00,buy,5257.75,5256.0,-19.98,stop,2
session,2024-04-08T19:08:00+00:00,2024-04-08T19:40:00+00:00,buy,5258.5,5255.0,-18.74,stop,32
session,2024-04-08T20:08:00+00:00,2024-04-08T20:16:00+00:00,buy,5258.0,5256.25,-19.98,stop,8
session,2024-04-08T20:16:00+00:00,2024-04-08T22:00:00+00:00,buy,5256.25,5258.75,22.52,target,104
session,2024-04-08T22:00:00+00:00,2024-04-08T22:08:00+00:00,buy,5258.75,5257.0,-19.98,stop,8
session,2024-04-08T22:08:00+00:00,2024-04-08T23:42:00+00:00,buy,5257.0,5255.75,-22.47,stop,94
session,2024-04-08T23:44:00+00:00,2024-04-08T23:54:00+00:00,buy,5257.0,5256.0,-24.96,stop,10
session,2024-04-09T00:34:00+00:00,2024-04-09T00:40:00+00:00,buy,5254.75,5254.25,-22.439999999999998,stop,6
session,2024-04-09T00:56:00+00:00,2024-04-09T00:58:00+00:00,buy,5254.0,5253.5,-22.439999999999998,stop,2
session,2024-04-09T01:02:00+00:00,2024-04-09T01:06:00+00:00,buy,5254.5,5253.75,-24.95,stop,4
session,2024-04-09T02:36:00+00:00,2024-04-09T02:38:00+00:00,buy,5252.5,5252.0,-22.439999999999998,stop,2
session,2024-04-09T02:38:00+00:00,2024-04-09T02:42:00+00:00,buy,5252.0,5253.0,18.8,target,4
session,2024-04-09T03:00:00+00:00,2024-04-09T03:10:00+00:00,buy,5253.5,5253.0,-22.439999999999998,stop,10
session,2024-04-09T03:10:00+00:00,2024-04-09T03:14:00+00:00,buy,5253.25,5254.0,17.57,target,4
session,2024-04-09T03:16:00+00:00,2024-04-09T03:34:00+00:00,buy,5254.5,5253.75,-24.95,stop,18
session,2024-04-09T04:34:00+00:00,2024-04-09T04:36:00+00:00,buy,5256.5,5257.0,10.08,target,2
session,2024-04-09T04:38:00+00:00,2024-04-09T04:46:00+00:00,buy,5256.5,5257.25,15.06,target,8
session,2024-04-09T04:46:00+00:00,2024-04-09T05:08:00+00:00,buy,5257.25,5258.0,17.57,target,22
session,2024-04-09T05:08:00+00:00,2024-04-09T05:22:00+00:00,buy,5258.25,5257.5,-24.95,stop,14
session,2024-04-09T05:22:00+00:00,2024-04-09T05:30:00+00:00,buy,5257.5,5256.75,-24.95,stop,8
session,2024-04-09T06:34:00+00:00,2024-04-09T06:38:00+00:00,buy,5257.75,5257.0,-24.95,stop,4
session,2024-04-09T06:44:00+00:00,2024-04-09T06:56:00+00:00,buy,5256.0,5255.5,-18.7,stop,12
session,2024-04-09T08:52:00+00:00,2024-04-09T09:06:00+00:00,buy,5252.75,5254.75,26.28,target,14
session,2024-04-09T09:28:00+00:00,2024-04-09T09:30:00+00:00,buy,5256.5,5255.75,-19.96,stop,2
session,2024-04-09T09:46:00+00:00,2024-04-09T10:24:00+00:00,buy,5257.5,5256.0,-17.48,stop,38
session,2024-04-09T11:14:00+00:00,2024-04-09T11:34:00+00:00,buy,5258.0,5256.25,-19.98,stop,20
session,2024-04-09T11:38:00+00:00,2024-04-09T11:46:00+00:00,buy,5257.25,5256.25,-24.96,stop,8
session,2024-04-09T11:54:00+00:00,2024-04-09T11:58:00+00:00,buy,5257.75,5259.25,25.04,target,4
session,2024-04-09T11:58:00+00:00,2024-04-09T12:10:00+00:00,buy,5260.75,5263.5,25.02,target,12
session,2024-04-09T12:10:00+00:00,2024-04-09T13:16:00+00:00,buy,5265.75,5270.0,20.01,target,66
session,2024-04-09T13:16:00+00:00,2024-04-09T13:34:00+00:00,buy,5270.75,5268.25,-13.74,stop,18
session,2024-04-09T13:34:00+00:00,2024-04-09T13:46:00+00:00,buy,5267.75,5264.5,-17.49,stop,12
session,2024-04-09T14:22:00+00:00,2024-04-09T14:26:00+00:00,buy,5256.5,5255.25,-22.47,stop,4
session,2024-04-09T19:56:00+00:00,2024-04-09T19:58:00+00:00,buy,5252.5,5260.25,37.51,target,2
session,2024-04-09T20:06:00+00:00,2024-04-09T22:12:00+00:00,buy,5268.25,5263.5,-24.99,stop,126
session,2024-04-09T22:32:00+00:00,2024-04-09T22:40:00+00:00,buy,5264.0,5263.25,-19.96,stop,8
session,2024-04-09T22:58:00+00:00,2024-04-09T23:10:00+00:00,buy,5263.25,5262.75,-26.18,stop,12
session,2024-04-09T23:10:00+00:00,2024-04-09T23:12:00+00:00,buy,5262.75,5263.5,15.06,target,2
session,2024-04-09T23:12:00+00:00,2024-04-09T23:16:00+00:00,buy,5263.5,5262.75,-24.95,stop,4
session,2024-04-09T23:16:00+00:00,2024-04-09T23:20:00+00:00,buy,5263.0,5262.5,-18.7,stop,4
session,2024-04-09T23:20:00+00:00,2024-04-09T23:58:00+00:00,buy,5262.5,5262.0,-18.7,stop,38
session,2024-04-10T00:04:00+00:00,2024-04-10T00:20:00+00:00,buy,5263.0,5264.25,20.04,target,16
session,2024-04-10T00:20:00+00:00,2024-04-10T01:24:00+00:00,buy,5265.0,5263.5,-17.48,stop,64
session,2024-04-10T02:44:00+00:00,2024-04-10T02:50:00+00:00,buy,5264.25,5263.75,-26.18,stop,6
session,2024-04-10T02:56:00+00:00,2024-04-10T03:38:00+00:00,buy,5264.5,5263.75,-24.95,stop,42
session,2024-04-10T03:40:00+00:00,2024-04-10T03:56:00+00:00,buy,5264.0,5263.5,-22.439999999999998,stop,16
session,2024-04-10T03:58:00+00:00,2024-04-10T04:38:00+00:00,buy,5264.5,5265.75,25.05,target,40
session,2024-04-10T04:38:00+00:00,2024-04-10T04:40:00+00:00,buy,5266.0,5265.5,-26.18,stop,2
session,2024-04-10T04:40:00+00:00,2024-04-10T04:48:00+00:00,buy,5265.5,5265.0,-22.439999999999998,stop,8
session,2024-04-10T04:48:00+00:00,2024-04-10T05:24:00+00:00,buy,5265.0,5264.5,-22.439999999999998,stop,36
session,2024-04-10T05:26:00+00:00,2024-04-10T05:30:00+00:00,buy,5265.25,5266.25,22.560000000000002,target,4
session,2024-04-10T05:30:00+00:00,2024-04-10T05:34:00+00:00,buy,5266.5,5265.75,-19.96,stop,4
session,2024-04-10T05:34:00+00:00,2024-04-10T05:42:00+00:00,buy,5265.75,5265.0,-24.95,stop,8
session,2024-04-10T06:16:00+00:00,2024-04-10T06:24:00+00:00,buy,5262.5,5264.0,25.04,target,8
session,2024-04-10T06:24:00+00:00,2024-04-10T06:40:00+00:00,buy,5264.5,5263.25,-22.47,stop,16
session,2024-04-10T06:40:00+00:00,2024-04-10T06:44:00+00:00,buy,5263.25,5264.5,20.04,target,4
session,2024-04-10T06:44:00+00:00,2024-04-10T06:58:00+00:00,buy,5264.5,5263.5,-24.96,stop,14
session,2024-04-10T07:00:00+00:00,2024-04-10T07:08:00+00:00,buy,5265.0,5263.25,-19.98,stop,8
